Param;Result
KINT;0.30434782608695654
R05;0.2391304347826087
R20;0.2608695652173913
R14;0.2826086956521739
R10;0.21739130434782608
F07;0.2391304347826087
F10;0.17391304347826086
F14;0.21739130434782608
R07;0.21739130434782608
F20;0.21739130434782608
F05;0.2391304347826087
PHIT;0.28888888888888886
MRES;0.26666666666666666
SG;0.15555555555555556
KGL;0.13333333333333333
SXWB;0.2
GZ3;0.17391304347826086
NPHI;0.2222222222222222
GZ2;0.2391304347826087
GZ4;0.21739130434782608
GZ1;0.21739130434782608
CILD;0.21739130434782608
PROX;0.17391304347826086
LLD;0.2391304347826087
GZ7;0.3695652173913043
APS;0.13953488372093023
KPS;0.2558139534883721
GZ5;0.13043478260869565
