Param;Mae
KINT;0.13420742984186257
R05;0.12159140654333137
R20;0.11331570511929857
R14;0.11112020035637396
R10;0.10755242150350529
F07;0.13194943384759106
F10;0.11972848019774351
F14;0.12366012469552587
R07;0.11567118351632084
F20;0.122012944475996
F05;0.1299606314598426
PHIT;0.13378046654112508
MRES;0.12276205627521868
SG;0.13184364726133194
KGL;0.12810876069874572
SXWB;0.1353480249854797
GZ3;0.1402538598977535
NPHI;0.13276734883162258
GZ2;0.12450004578252584
GZ4;0.12020864819542654
GZ1;0.12121553983266155
CILD;0.13208794500517765
PROX;0.13040636233473119
LLD;0.12607200979602382
GZ7;0.11607881842655186
APS;0.13789037283086208
KPS;0.1348330996665425
GZ5;0.14478402461403161
