Param;Mse
KINT;0.029213697793601823
R05;0.01893106470902511
R20;0.019433766486618546
R14;0.017652947566296574
R10;0.016204637100152106
F07;0.026877527600376733
F10;0.022036984700003905
F14;0.025036502406621648
R07;0.02137506846324273
F20;0.024394684320419135
F05;0.02828149236256791
PHIT;0.027803872412191215
MRES;0.02187108730284564
SG;0.02432324209804437
KGL;0.025703409872511428
SXWB;0.02731848768292617
GZ3;0.03092301260026725
NPHI;0.025710910050791094
GZ2;0.022749441830027563
GZ4;0.022341768839782717
GZ1;0.021680074570484962
CILD;0.024634377788444538
PROX;0.027075957345933366
LLD;0.02265307939359331
GZ7;0.02104988069179514
APS;0.030300239388759972
KPS;0.029406423839354136
GZ5;0.034674408573316634
