WellName	X-Coord	Y-Coord	KB	TopDepth	BottomDepth	Symbol	Rig	Field
314_103ST2	354719.52	6470051.42	120.78	10	2942	27	6	ШИНГИНСКОЕ
314_107	354693.18	6470164.36	120.78	153	3292	27	6	ШИНГИНСКОЕ
314_121	354433.25	6468384.38	115.49	10	3110	27	4	ШИНГИНСКОЕ
314_125PL	354717.25	6470061.16	120.78	170	3160	27	6	ШИНГИНСКОЕ
314_134	354478.44	6468306.61	115.49	10	3007	27	4	ШИНГИНСКОЕ
314_137	354473.92	6468314.39	115.49	10	2880	27	4	ШИНГИНСКОЕ
314_143	354524.13	6468227.98	115.49	10	2967	27	4	ШИНГИНСКОЕ
314_155	349850.11	6463859.57	113.72	10	3440	27	3	ШИНГИНСКОЕ
314_156	349872.91	6463922.53	113.42	10	3119	27	3	ШИНГИНСКОЕ
314_166	353768.29	6464102.65	111.36	10	3489	27	0005B	ШИНГИНСКОЕ
314_183	353830.52	6464043.34	111.36	10	2928	27	0005B	ШИНГИНСКОЕ
314_184	353888.47	6463990.11	111.36	10	3585	27	5Б	ШИНГИНСКОЕ
314_187	353870.23	6464007.09	111.36	10	2920	27	5Б	ШИНГИНСКОЕ
314_205	352508.6	6466723.24	100.22	10	2910	27	1	ШИНГИНСКОЕ
314_248	349774.57	6463654.39	115.41	10	3058	27	3Б	ШИНГИНСКОЕ
314_297R	356037.61	6464308.24	98.2	0	3300	15	0	ШИНГИНСКОЕ
314_2WZ	351666.55	6464700.01	107.79	0	0	27	2	ШИНГИНСКОЕ
314_302	354600.92	6468095.78	115.49	20	3450	27	4	ШИНГИНСКОЕ
314_313	354542.16	6468196.88	115.49	10	2784	27	4	ШИНГИНСКОЕ
314_330	351599.79	6464620.37	107.79	10	3020	27	2	ШИНГИНСКОЕ
314_331	351634.45	6464661.72	107.79	10	2920	27	2	ШИНГИНСКОЕ
314_346	354614.48	6468072.44	115.49	10	2840	27	4	ШИНГИНСКОЕ
314_354	351496.96	6464501.2	107.32	10	2880	27	2	ШИНГИНСКОЕ
314_372	351414.9	6464405.49	107.32	10	3330	27	2	ШИНГИНСКОЕ
314_376	351438.39	6464432.88	107.32	10	2950	27	2	ШИНГИНСКОЕ
314_377	354537.7	6468204.66	115.49	10	2752	27	4	ШИНГИНСКОЕ
314_455	352513.93	6466929.06	100.66	0	2985	27	1	ШИНГИНСКОЕ
314_601	354024.01	6463861.06	113.11	0	3566.19	27	5В	ШИНГИНСКОЕ
314_606G	354043.19	6463842.69	113.11	172	3658	0	5В	ШИНГИНСКОЕ
314_111	354690.22	6470177.04	120.78	163	3441	27	6	ШИНГИНСКОЕ
314_127	354455.84	6468345.5	115.49	10	3186	27	4	ШИНГИНСКОЕ
314_130	354446.8	6468361.05	115.49	10	3135	27	4	ШИНГИНСКОЕ
314_153	349874.61	6463927.23	113.42	10	3029	27	3	ШИНГИНСКОЕ
314_177	352509.33	6466795.21	100.22	10	2770	27	1	ШИНГИНСКОЕ
314_179	352509.14	6466777.21	100.22	10	3120	27	1	ШИНГИНСКОЕ
314_188	353826.9	6464046.78	111.36	0	3116	27	0005B	ШИНГИНСКОЕ
314_196	353786.38	6464085.43	111.36	50	3134	27	0005B	ШИНГИНСКОЕ
314_203	352508.96	6466759.23	100.22	10	2980	27	1	ШИНГИНСКОЕ
314_222	352509.87	6466849.19	100.22	10	3380	27	1	ШИНГИНСКОЕ
314_241	349833.22	6463814.72	113.89	10	2923	27	3	ШИНГИНСКОЕ
314_242	349818.12	6463773.4	113.89	10	3088	27	3	ШИНГИНСКОЕ
314_247	349768.39	6463637.49	115.41	10	3634	27	3	ШИНГИНСКОЕ
314_300R	358305.7	6471161.5	120	0	3300	15	0	ШИНГИНСКОЕ
314_315	352508.25	6467385.73	103.92	10	2720	27	0001B	ШИНГИНСКОЕ
314_335	351588.24	6464606.58	107.79	10	2790	0	2	ШИНГИНСКОЕ
314_338	349866.12	6463903.74	113.72	10	2830	27	3	ШИНГИНСКОЕ
314_342	351657.56	6464689.29	107.79	10	2750	27	2	ШИНГИНСКОЕ
314_345	351549.62	6464562.67	107.32	10	3130	27	2	ШИНГИНСКОЕ
314_352	351526.22	6464535.35	107.32	10	2950	27	2	ШИНГИНСКОЕ
314_365	351420.83	6464412.4	107.32	10	3381	27	2	ШИНГИНСКОЕ
314_370	349899.1	6463994.88	113.42	10	2920	27	3	ШИНГИНСКОЕ
314_383	349880.75	6463944.14	113.42	10	3230	27	3	ШИНГИНСКОЕ
314_441ST2	356735.52	6469428.48	118.15	10	3004	27	7	ШИНГИНСКОЕ
314_600	354027.61	6463857.69	113.11	123	3531	0	5В	ШИНГИНСКОЕ
314_603	354017.43	6463867.24	113.11	10	3510	27	5В	ШИНГИНСКОЕ
314_108	354697.04	6470147.81	120.78	10	3541	27	6	ШИНГИНСКОЕ
314_123G	354699.77	6470136.12	120.78	10	3550	27	6	ШИНГИНСКОЕ
314_123PL	354699.77	6470136.12	120.78	150	3403	27	6	ШИНГИНСКОЕ
314_125G	354717.25	6470061.16	120.78	10	3595	27	6	ШИНГИНСКОЕ
314_139	354487.48	6468291.06	115.49	10	2793	27	4	ШИНГИНСКОЕ
314_153ST2	349874.61	6463927.23	113.42	10	2913	27	3	ШИНГИНСКОЕ
314_154	349853.51	6463868.97	113.72	10	3546	27	3	ШИНГИНСКОЕ
314_173	353808.09	6464064.72	111.36	0	3613	27	0005B	ШИНГИНСКОЕ
314_175	352510.05	6466867.18	100.22	10	3320	27	1	ШИНГИНСКОЕ
314_192	353903.06	6463976.44	111.37	10	2839	27	5Б	ШИНГИНСКОЕ
314_194	353823.28	6464050.23	111.36	10	2951	27	0005B	ШИНГИНСКОЕ
314_206	353895.76	6463983.28	111.36	10	3579	27	5Б	ШИНГИНСКОЕ
314_215ST2	353892.12	6463986.69	111.36	10	3511	27	5Б	ШИНГИНСКОЕ
314_245	349812.97	6463759.34	113.89	39	3272	27	3	ШИНГИНСКОЕ
314_319	352508.25	6467331.82	103.92	10	2890	27	0001B	ШИНГИНСКОЕ
314_322	352508.25	6467223.8	103.92	10	3060	27	0001B	ШИНГИНСКОЕ
314_323	352508.25	6467286.77	103.92	10	2850	27	0001B	ШИНГИНСКОЕ
314_328	352508.25	6467232.79	103.92	10	3210	27	0001B	ШИНГИНСКОЕ
314_357	354632.57	6468041.34	115.49	10	2890	27	4	ШИНГИНСКОЕ
314_362	351514.51	6464521.68	107.32	10	3020	27	2	ШИНГИНСКОЕ
314_427	356725.42	6469405.63	118.15	10	3005	27	7	ШИНГИНСКОЕ
314_451	352513.63	6466914.06	100.66	10	3302	27	1	ШИНГИНСКОЕ
314_600ST2	354027.61	6463857.69	113.11	10	3603	27	5В	ШИНГИНСКОЕ
314_602	354039.39	6463846.31	113	0	3605	27	0	ШИНГИНСКОЕ
314_606G2	354043.19	6463842.69	113.11	10	3936	27	5В	ШИНГИНСКОЕ
314_643	347711.41	6459315.55	128.88	0	2872	0	8	ШИНГИНСКОЕ
314_117ST2	354726.24	6470022.72	120.78	10	3425	27	6	ШИНГИНСКОЕ
314_126	354424.2	6468399.93	115.49	10	3310	27	4	ШИНГИНСКОЕ
