well;num;x;y;field;z;plastorig
314_100;100;355 010.66;6 470 170.74;Шингинское;2 671.20;Ю1-1
314_101;101;354 605.75;6 471 639.69;Шингинское;3 117.60;Ю1-1
314_102;102;355 094.59;6 470 636.37;Шингинское;2 758.40;Ю1-1
314_103;103;354 278.80;6 470 942.75;Шингинское;2 860.40;Ю1-1
314_103ST2;103ST2;354 089.59;6 470 137.60;Шингинское;2 847.40;Ю1-1
314_104;104;354 234.53;6 471 358.12;Шингинское;3 069.20;Ю1-1
314_105;105;356 138.19;6 470 536.88;Шингинское;3 058.60;Ю1-1
314_106;106;355 534.11;6 471 397.33;Шингинское;3 097.40;Ю1-1
314_107;107;353 360.93;6 471 143.96;Шингинское;3 224.20;Ю1-1
314_108;108;354 807.68;6 472 113.04;Шингинское;3 448.20;Ю1-1
314_109;109;354 114.53;6 471 724.30;Шингинское;3 269.20;Ю1-1
314_110G;110G;353 938.95;6 470 772.02;Шингинское;2 951.60;Ю1-1
314_110G;110G;353 763.42;6 471 242.16;Шингинское;3 454.00;Ю1-1_T3
314_110PL;110PL;353 777.47;6 471 206.13;Шингинское;3 187.80;Ю1-1
314_111;111;353 715.86;6 471 755.98;Шингинское;3 343.00;Ю1-1
314_112;112;355 857.02;6 469 315.97;Шингинское;3 048.00;Ю1-1
314_113;113;356 177.67;6 469 702.27;Шингинское;3 120.40;Ю1-1
314_114;114;354 204.84;6 470 497.23;Шингинское;2 767.80;Ю1-1
314_116;116;355 706.69;6 469 669.36;Шингинское;2 891.60;Ю1-1
314_117;117;353 435.21;6 470 108.52;Шингинское;3 007.60;Ю1-1
314_117ST2;117ST2;353 022.53;6 469 381.47;Шингинское;3 347.00;Ю1-1
314_120;120;352 681.41;6 468 936.83;Шингинское;3 292.80;Ю1-1
314_121;121;355 391.25;6 469 284.21;Шингинское;3 020.80;Ю1-1
314_122;122;355 432.34;6 468 833.90;Шингинское;2 898.80;Ю1-1
314_123G;123G;355 118.11;6 471 184.18;Шингинское;3 010.90;Ю1-1
314_123G;123G;355 088.00;6 471 721.77;Шингинское;3 550.00;Ю1-1_T3
314_123PL;123PL;355 106.59;6 471 464.53;Шингинское;3 233.40;Ю1-1
314_124G;124G;354 649.99;6 470 555.71;Шингинское;2 991.60;Ю1-1
314_124G;124G;354 670.26;6 471 187.90;Шингинское;3 625.00;Ю1-1_T3
314_124PL;124PL;354 609.46;6 470 580.96;Шингинское;2 994.40;Ю1-1
314_125G;125G;355 535.40;6 470 191.85;Шингинское;3 053.00;Ю1-1
314_125G;125G;356 076.19;6 470 168.88;Шингинское;3 595.00;Ю1-1_T3
314_125PL;125PL;355 607.26;6 470 223.17;Шингинское;3 072.60;Ю1-1
