Coord;X;Y;Depth
0;348202;6.46E+06;2601.5
1;348202;6.46E+06;2600.09
2;348202;6.46E+06;2598.85
3;348202;6.46E+06;2598.79
4;348202;6.46E+06;2599.31
5;348202;6.46E+06;2600.44
6;348202;6.46E+06;2602.76
7;348202;6.46E+06;2606.14
8;348202;6.46E+06;2609.59
9;348202;6.46E+06;2614.5
10;348202;6.46E+06;2620.46
11;348202;6.46E+06;2622.02
12;348202;6.46E+06;2622.26
13;348202;6.46E+06;2621.58
14;348202;6.46E+06;2620.69
15;348202;6.46E+06;2619.98
16;348202;6.46E+06;2619.57
17;348202;6.46E+06;2618.81
18;348202;6.46E+06;2616.52
19;348202;6.46E+06;2613.23
20;348202;6.46E+06;2609.82
21;348202;6.46E+06;2605.34
22;348202;6.46E+06;2601.31
23;348202;6.46E+06;2598.31
24;348302;6.46E+06;2603.89
25;348302;6.46E+06;2602.43
26;348302;6.46E+06;2601.25
27;348302;6.46E+06;2599.58
28;348302;6.46E+06;2599.03
29;348302;6.46E+06;2599.28
30;348302;6.46E+06;2599.82
31;348302;6.46E+06;2601.44
32;348302;6.46E+06;2604.8
33;348302;6.46E+06;2607.92
34;348302;6.46E+06;2611.56
35;348302;6.46E+06;2617.52
36;348302;6.46E+06;2620.38
37;348302;6.46E+06;2620.89
38;348302;6.46E+06;2620.08
39;348302;6.46E+06;2619.17
40;348302;6.46E+06;2619.04
41;348302;6.46E+06;2618.77
42;348302;6.46E+06;2618.44
43;348302;6.46E+06;2616.43
44;348302;6.46E+06;2613.09
45;348302;6.46E+06;2609.95
46;348302;6.46E+06;2605.12
47;348302;6.46E+06;2600.18
48;348302;6.46E+06;2597.61
49;348402;6.46E+06;2606.91
50;348402;6.46E+06;2605.57
51;348402;6.46E+06;2603.84
52;348402;6.46E+06;2602.17
53;348402;6.46E+06;2600.51
54;348402;6.46E+06;2599.24
55;348402;6.46E+06;2598.89
56;348402;6.46E+06;2598.93
57;348402;6.46E+06;2599.38
58;348402;6.46E+06;2601.86
59;348402;6.46E+06;2604.98
60;348402;6.46E+06;2608.62
61;348402;6.46E+06;2612.41
62;348402;6.46E+06;2616.13
63;348402;6.46E+06;2617.48
64;348402;6.46E+06;2617.41
65;348402;6.46E+06;2617.22
66;348402;6.46E+06;2617.2
67;348402;6.46E+06;2617.15
68;348402;6.46E+06;2617.05
69;348402;6.46E+06;2616.52
70;348402;6.46E+06;2612.93
71;348402;6.46E+06;2608.73
72;348402;6.46E+06;2603.43
73;348402;6.46E+06;2599.7
74;348402;6.46E+06;2596.49
75;348402;6.46E+06;2594.02
76;348502;6.46E+06;2607.91
77;348502;6.46E+06;2606.9
78;348502;6.46E+06;2605.15
79;348502;6.46E+06;2602.98
80;348502;6.46E+06;2601.22
81;348502;6.46E+06;2599.33
82;348502;6.46E+06;2598.26
83;348502;6.46E+06;2597.76
