ID;X;Y;WC
0;348202;6460000;1.7E+38
1;348202;6460000;1.7E+38
2;348202;6460000;1.7E+38
3;348202;6460000;1.7E+38
4;348202;6460000;1.7E+38
5;348202;6460000;1.7E+38
6;348202;6460000;1.7E+38
7;348202;6460000;1.7E+38
8;348202;6460000;1.7E+38
9;348202;6460000;1.7E+38
10;348202;6460000;1.7E+38
11;348202;6460000;1.7E+38
12;348202;6460000;1.7E+38
13;348202;6460000;1.7E+38
14;348202;6460000;1.7E+38
15;348202;6460000;1.7E+38
16;348202;6460000;1.7E+38
17;348202;6460000;1.7E+38
18;348202;6460000;1.7E+38
19;348202;6460000;1.7E+38
20;348202;6460000;1.7E+38
21;348202;6460000;1.7E+38
22;348202;6460000;1.7E+38
23;348202;6460000;1.7E+38
24;348302;6460000;0.39
25;348302;6460000;0.39
26;348302;6460000;0.39
27;348302;6460000;0.39
28;348302;6460000;0.39
29;348302;6460000;0.4
30;348302;6460000;0.4
31;348302;6460000;0.4
32;348302;6460000;0.4
33;348302;6460000;0.4
34;348302;6460000;0.41
35;348302;6460000;0.41
36;348302;6460000;0.41
37;348302;6460000;0.42
38;348302;6460000;0.43
39;348302;6460000;0.44
40;348302;6460000;0.45
41;348302;6460000;0.46
42;348302;6460000;0.46
43;348302;6460000;0.47
44;348302;6460000;0.47
45;348302;6460000;0.47
46;348302;6460000;0.46
47;348302;6460000;0.46
48;348302;6460000;0.46
49;348402;6460000;0.39
50;348402;6460000;0.39
51;348402;6460000;0.39
52;348402;6460000;0.39
53;348402;6460000;0.39
54;348402;6460000;0.39
55;348402;6460000;0.39
56;348402;6460000;0.4
57;348402;6460000;0.4
58;348402;6460000;0.4
59;348402;6460000;0.4
60;348402;6460000;0.4
61;348402;6460000;0.4
62;348402;6460000;0.41
63;348402;6460000;0.42
64;348402;6460000;0.43
65;348402;6460000;0.44
66;348402;6460000;0.45
67;348402;6460000;0.47
68;348402;6460000;0.48
69;348402;6460000;0.49
70;348402;6460000;0.49
71;348402;6460000;0.48
72;348402;6460000;0.48
73;348402;6460000;0.47
74;348402;6460000;0.46
75;348402;6460000;0.46
76;348502;6460000;0.38
77;348502;6460000;0.39
78;348502;6460000;0.39
79;348502;6460000;0.39
80;348502;6460000;0.39
81;348502;6460000;0.39
82;348502;6460000;0.39
83;348502;6460000;0.39
84;348502;6460000;0.4
85;348502;6460000;0.4
86;348502;6460000;0.4
87;348502;6460000;0.39
88;348502;6460000;0.39
89;348502;6460000;0.4
90;348502;6460000;0.41
91;348502;6460000;0.42
92;348502;6460000;0.44
93;348502;6460000;0.45
94;348502;6460000;0.47
95;348502;6460000;0.5
96;348502;6460000;0.53
97;348502;6460000;0.52
98;348502;6460000;0.5
99;348502;6460000;0.49
100;348502;6460000;0.48
101;348502;6460000;0.47
102;348502;6460000;0.46
103;348602;6460000;0.38
104;348602;6460000;0.38
105;348602;6460000;0.38
106;348602;6460000;0.38
107;348602;6460000;0.38
108;348602;6460000;0.38
109;348602;6460000;0.38
110;348602;6460000;0.38
111;348602;6460000;0.39
112;348602;6460000;0.39
113;348602;6460000;0.39
114;348602;6460000;0.38
115;348602;6460000;0.38
116;348602;6460000;0.37
117;348602;6460000;0.37
118;348602;6460000;0.39
119;348602;6460000;0.41
120;348602;6460000;0.44
121;348602;6460000;0.45
122;348602;6460000;0.48
123;348602;6460000;0.5
124;348602;6460000;0.52
125;348602;6460000;0.52
126;348602;6460000;0.5
127;348602;6460000;0.49
128;348602;6460000;0.48
129;348602;6460000;0.47
130;348602;6460000;0.47
131;348702;6460000;0.38
132;348702;6460000;0.38
133;348702;6460000;0.38
134;348702;6460000;0.38
135;348702;6460000;0.38
136;348702;6460000;0.38
137;348702;6460000;0.38
138;348702;6460000;0.38
139;348702;6460000;0.38
140;348702;6460000;0.37
141;348702;6460000;0.37
142;348702;6460000;0.37
143;348702;6460000;0.36
144;348702;6460000;0.35
145;348702;6460000;0.34
146;348702;6460000;0.38
147;348702;6460000;0.41
148;348702;6460000;0.44
149;348702;6460000;0.45
150;348702;6460000;0.47
151;348702;6460000;0.49
152;348702;6460000;0.5
153;348702;6460000;0.51
154;348702;6460000;0.5
155;348702;6460000;0.49
156;348702;6460000;0.48
157;348702;6460000;0.47
158;348702;6460000;0.47
159;348802;6460000;0.38
160;348802;6460000;0.38
161;348802;6460000;0.38
162;348802;6460000;0.38
163;348802;6460000;0.38
164;348802;6460000;0.38
165;348802;6460000;0.38
166;348802;6460000;0.37
167;348802;6460000;0.36
168;348802;6460000;0.36
169;348802;6460000;0.35
170;348802;6460000;0.35
171;348802;6460000;0.35
172;348802;6460000;0.35
173;348802;6460000;0.36
174;348802;6460000;0.39
175;348802;6460000;0.41
176;348802;6460000;0.44
177;348802;6460000;0.46
178;348802;6460000;0.48
179;348802;6460000;0.49
180;348802;6460000;0.49
181;348802;6460000;0.5
182;348802;6460000;0.5
183;348802;6460000;0.49
184;348802;6460000;0.48
185;348802;6460000;0.47
186;348802;6460000;0.47
187;348902;6460000;1.7E+38
188;348902;6460000;0.38
189;348902;6460000;0.38
190;348902;6460000;0.38
191;348902;6460000;0.38
192;348902;6460000;0.38
193;348902;6460000;0.38
194;348902;6460000;0.38
195;348902;6460000;0.37
196;348902;6460000;0.36
197;348902;6460000;0.34
198;348902;6460000;0.33
199;348902;6460000;0.35
200;348902;6460000;0.36
201;348902;6460000;0.36
202;348902;6460000;0.38
203;348902;6460000;0.39
204;348902;6460000;0.42
205;348902;6460000;0.44
206;348902;6460000;0.46
207;348902;6460000;0.49
208;348902;6460000;0.49
209;348902;6460000;0.49
210;348902;6460000;0.5
211;348902;6460000;0.5
212;348902;6460000;0.49
213;348902;6460000;0.49
214;348902;6460000;0.48
215;348902;6460000;0.47
216;348902;6460000;0.46
217;349002;6460000;1.7E+38
218;349002;6460000;0.38
219;349002;6460000;0.38
220;349002;6460000;0.39
221;349002;6460000;0.39
222;349002;6460000;0.39
223;349002;6460000;0.39
224;349002;6460000;0.38
225;349002;6460000;0.37
226;349002;6460000;0.36
227;349002;6460000;0.35
228;349002;6460000;0.34
229;349002;6460000;0.35
230;349002;6460000;0.36
231;349002;6460000;0.37
232;349002;6460000;0.38
233;349002;6460000;0.39
234;349002;6460000;0.41
235;349002;6460000;0.43
236;349002;6460000;0.45
237;349002;6460000;0.47
238;349002;6460000;0.48
239;349002;6460000;0.49
240;349002;6460000;0.51
241;349002;6460000;0.51
242;349002;6460000;0.5
243;349002;6460000;0.49
244;349002;6460000;0.48
245;349002;6460000;0.46
246;349002;6460000;0.45
247;349102;6460000;1.7E+38
248;349102;6460000;0.38
249;349102;6460000;0.39
250;349102;6460000;0.39
251;349102;6460000;0.39
252;349102;6460000;0.39
253;349102;6460000;0.4
254;349102;6460000;0.39
255;349102;6460000;0.38
256;349102;6460000;0.37
257;349102;6460000;0.36
258;349102;6460000;0.36
259;349102;6460000;0.36
260;349102;6460000;0.36
261;349102;6460000;0.37
262;349102;6460000;0.38
263;349102;6460000;0.39
264;349102;6460000;0.4
265;349102;6460000;0.42
266;349102;6460000;0.43
267;349102;6460000;0.44
268;349102;6460000;0.46
269;349102;6460000;0.48
270;349102;6460000;0.52
271;349102;6460000;0.54
272;349102;6460000;0.52
273;349102;6460000;0.49
274;349102;6460000;0.47
275;349102;6460000;0.46
276;349102;6460000;0.45
277;349202;6460000;1.7E+38
278;349202;6460000;0.39
279;349202;6460000;0.39
280;349202;6460000;0.39
281;349202;6460000;0.39
282;349202;6460000;0.4
283;349202;6460000;0.4
284;349202;6460000;0.4
285;349202;6460000;0.39
286;349202;6460000;0.38
287;349202;6460000;0.37
288;349202;6460000;0.36
289;349202;6460000;0.36
290;349202;6460000;0.37
291;349202;6460000;0.37
292;349202;6460000;0.37
293;349202;6460000;0.38
294;349202;6460000;0.39
295;349202;6460000;0.4
296;349202;6460000;0.4
297;349202;6460000;0.42
298;349202;6460000;0.44
299;349202;6460000;0.46
300;349202;6460000;0.5
301;349202;6460000;0.53
302;349202;6460000;0.51
303;349202;6460000;0.47
304;349202;6460000;0.46
305;349202;6460000;0.44
306;349202;6460000;0.44
307;349302;6460000;1.7E+38
308;349302;6460000;0.39
309;349302;6460000;0.4
310;349302;6460000;0.39
311;349302;6460000;0.39
312;349302;6460000;0.39
313;349302;6460000;0.39
314;349302;6460000;0.39
315;349302;6460000;0.38
316;349302;6460000;0.37
317;349302;6460000;0.37
318;349302;6460000;0.37
319;349302;6460000;0.37
320;349302;6460000;0.37
321;349302;6460000;0.37
322;349302;6460000;0.37
323;349302;6460000;0.37
324;349302;6460000;0.37
325;349302;6460000;0.37
326;349302;6460000;0.37
327;349302;6460000;0.38
328;349302;6460000;0.4
329;349302;6460000;0.42
330;349302;6460000;0.45
331;349302;6460000;0.46
332;349302;6460000;0.45
333;349302;6460000;0.44
334;349302;6460000;0.43
335;349302;6460000;0.43
336;349302;6460000;0.42
337;349402;6460000;1.7E+38
338;349402;6460000;0.39
339;349402;6460000;0.4
340;349402;6460000;0.39
341;349402;6460000;0.38
342;349402;6460000;0.38
343;349402;6460000;0.37
344;349402;6460000;0.37
345;349402;6460000;0.36
346;349402;6460000;0.36
347;349402;6460000;0.36
348;349402;6460000;0.36
349;349402;6460000;0.36
350;349402;6460000;0.37
351;349402;6460000;0.37
352;349402;6460000;0.37
353;349402;6460000;0.37
354;349402;6460000;0.36
355;349402;6460000;0.35
356;349402;6460000;0.34
357;349402;6460000;0.34
358;349402;6460000;0.36
359;349402;6460000;0.39
360;349402;6460000;0.4
361;349402;6460000;0.41
362;349402;6460000;0.41
363;349402;6460000;0.41
364;349402;6460000;0.41
365;349402;6460000;0.41
366;349402;6460000;0.4
367;349502;6460000;1.7E+38
368;349502;6460000;0.38
369;349502;6460000;0.39
370;349502;6460000;0.38
371;349502;6460000;0.37
372;349502;6460000;0.36
373;349502;6460000;0.35
374;349502;6460000;0.35
375;349502;6460000;0.35
376;349502;6460000;0.35
377;349502;6460000;0.35
378;349502;6460000;0.36
379;349502;6460000;0.36
380;349502;6460000;0.37
381;349502;6460000;0.37
382;349502;6460000;0.37
383;349502;6460000;0.36
384;349502;6460000;0.36
385;349502;6460000;0.35
386;349502;6460000;0.34
387;349502;6460000;0.34
388;349502;6460000;0.35
389;349502;6460000;0.36
390;349502;6460000;0.36
391;349502;6460000;0.36
392;349502;6460000;0.37
393;349502;6460000;0.38
394;349502;6460000;0.38
395;349502;6460000;0.39
396;349502;6460000;0.39
397;349502;6460000;0.39
398;349602;6460000;1.7E+38
399;349602;6460000;0.36
400;349602;6460000;0.36
401;349602;6460000;0.35
402;349602;6460000;0.35
403;349602;6460000;0.33
404;349602;6460000;0.32
405;349602;6460000;0.32
406;349602;6460000;0.33
407;349602;6460000;0.33
408;349602;6460000;0.34
409;349602;6460000;0.35
410;349602;6460000;0.36
