Скважина;Пласт РИГИС;Пластпропласт;Глубина кровли пласта;Толщина;Абсолютная глубина;Абсолютная толщина;Литология;Коллектор
334;Ю1-3-4;Ю1-3-4;2 748.60;1.00;2 530.41;1.00;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 749.60;1.20;2 531.41;1.20;SAND;да
334;Ю1-3-4;Ю1-3-4;2 750.80;0.40;2 532.61;0.40;SAND_GL;да
358;Ю1-3-4;Ю1-3-4;2 677.60;0.60;2 532.72;0.60;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 751.20;0.40;2 533.01;0.40;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 678.20;1.00;2 533.32;0.99;SAND_GL;да
334;Ю1-3-4;Ю1-3-4;2 751.60;1.00;2 533.41;1.00;SAND;да
342;Ю1-3-4;Ю1-3-4;2 656.60;0.80;2 534.24;0.80;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 679.20;0.60;2 534.31;0.60;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 048.00;0.40;2 534.34;0.39;SAND_GL;да
334;Ю1-3-4;Ю1-3-4;2 752.60;0.60;2 534.41;0.60;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 048.40;0.40;2 534.73;0.39;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 094.40;0.80;2 534.84;0.78;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 679.80;0.80;2 534.91;0.80;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 753.20;1.20;2 535.01;1.20;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 657.40;0.80;2 535.04;0.80;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 048.80;0.40;2 535.12;0.39;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 049.20;1.60;2 535.51;1.58;SAND;да
105;Ю1-3-4;Ю1-3-4;3 095.20;1.20;2 535.62;1.18;SAND_GL;да
358;Ю1-3-4;Ю1-3-4;2 680.60;0.40;2 535.71;0.40;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 658.20;0.80;2 535.84;0.80;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 681.00;0.60;2 536.11;0.59;SAND;да
334;Ю1-3-4;Ю1-3-4;2 754.40;1.20;2 536.21;1.19;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 703.00;0.60;2 536.41;0.60;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 659.00;1.20;2 536.64;1.20;SAND;да
358;Ю1-3-4;Ю1-3-4;2 681.60;0.40;2 536.70;0.40;COAL;нет
105;Ю1-3-4;Ю1-3-4;3 096.40;1.00;2 536.80;0.97;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 703.60;0.80;2 537.01;0.80;SAND;да
188;Ю1-3-4;Ю1-3-4;3 050.80;1.20;2 537.09;1.18;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 682.00;4.40;2 537.10;4.38;SAND;да
334;Ю1-3-4;Ю1-3-4;2 755.60;0.80;2 537.40;0.80;ALEVROLIT;да
105;Ю1-3-4;Ю1-3-4;3 097.40;1.00;2 537.77;0.98;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 704.40;1.00;2 537.81;0.99;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 660.20;0.40;2 537.84;0.40;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 749.60;0.40;2 537.86;0.40;SAND;да
334;Ю1-3-4;Ю1-3-4;2 756.40;0.40;2 538.20;0.40;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 660.60;0.40;2 538.24;0.40;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 750.00;0.60;2 538.26;0.60;SAND_UPLOT;да
188;Ю1-3-4;Ю1-3-4;3 052.00;1.20;2 538.27;1.18;SAND_GL;да
309;Ю1-3-4;Ю1-3-4;2 715.00;2.40;2 538.31;2.39;SAND;да
334;Ю1-3-4;Ю1-3-4;2 756.80;0.60;2 538.60;0.60;ALEVROLIT;да
342;Ю1-3-4;Ю1-3-4;2 661.00;1.40;2 538.64;1.40;SAND;да
105;Ю1-3-4;Ю1-3-4;3 098.40;0.60;2 538.75;0.59;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 705.40;0.80;2 538.80;0.80;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 750.60;0.80;2 538.86;0.79;SAND;да
334;Ю1-3-4;Ю1-3-4;2 757.40;1.00;2 539.20;1.00;ARGILLIT;нет
105;Ю1-3-4;Ю1-3-4;3 099.00;0.60;2 539.34;0.59;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 053.20;1.40;2 539.45;1.37;SAND;да
341;Ю1-3-4;Ю1-3-4;2 706.20;0.40;2 539.60;0.40;ALEVROLIT;да
350;Ю1-3-4;Ю1-3-4;2 751.40;0.60;2 539.65;0.60;DENSE;нет
105;Ю1-3-4;Ю1-3-4;3 099.60;1.80;2 539.93;1.76;SAND;да
128PL;Ю1-3-4;Ю1-3-4;3 100.00;0.80;2 539.97;0.49;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 706.60;0.80;2 540.00;0.80;SAND;да
342;Ю1-3-4;Ю1-3-4;2 662.40;1.00;2 540.04;1.00;SAND;да
334;Ю1-3-4;Ю1-3-4;2 758.40;1.00;2 540.20;1.00;SAND_GL;да
350;Ю1-3-4;Ю1-3-4;2 752.00;1.20;2 540.25;1.19;SAND;да
128PL;Ю1-3-4;Ю1-3-4;3 100.80;0.40;2 540.46;0.25;ALEVROLIT;да
343;Ю1-3-4;Ю1-3-4;2 674.00;3.60;2 540.50;3.59;SAND;да
309;Ю1-3-4;Ю1-3-4;2 717.40;2.00;2 540.70;1.99;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 101.20;0.80;2 540.71;0.49;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 707.40;0.60;2 540.80;0.60;DENSE;нет
188;Ю1-3-4;Ю1-3-4;3 054.60;0.40;2 540.82;0.40;SAND_GL;да
342;Ю1-3-4;Ю1-3-4;2 663.40;1.40;2 541.04;1.40;SAND_GL;да
361;Ю1-3-4;Ю1-3-4;2 735.60;3.80;2 541.09;3.80;SAND;да
175;Ю1-3-4;Ю1-3-4;3 276.80;1.60;2 541.11;1.60;SAND_GL;да
128PL;Ю1-3-4;Ю1-3-4;3 102.00;0.40;2 541.20;0.24;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 759.40;0.60;2 541.20;0.60;DENSE;нет
188;Ю1-3-4;Ю1-3-4;3 055.00;0.40;2 541.22;0.39;ALEVROLIT;да
341;Ю1-3-4;Ю1-3-4;2 708.00;0.60;2 541.40;0.60;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 102.40;1.60;2 541.44;0.99;SAND;да
350;Ю1-3-4;Ю1-3-4;2 753.20;0.60;2 541.44;0.60;ALEVROLIT;да
358;Ю1-3-4;Ю1-3-4;2 686.40;1.60;2 541.48;1.59;ALEVROLIT;да
103;Ю1-3-4;Ю1-3-4;2 895.00;7.40;2 541.53;7.38;ARGILLIT;нет
188;Ю1-3-4;Ю1-3-4;3 055.40;0.60;2 541.61;0.59;SAND;да
105;Ю1-3-4;Ю1-3-4;3 101.40;0.60;2 541.69;0.59;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 760.00;1.00;2 541.80;1.00;SAND_GL;да
341;Ю1-3-4;Ю1-3-4;2 708.60;0.80;2 542.00;0.80;SAND_UPLOT;да
350;Ю1-3-4;Ю1-3-4;2 753.80;0.80;2 542.04;0.79;SAND_GL;да
102;Ю1-3-4;Ю1-3-4;2 792.80;2.20;2 542.13;2.20;ALEVROLIT;да
188;Ю1-3-4;Ю1-3-4;3 056.00;1.20;2 542.20;1.18;SAND;да
105;Ю1-3-4;Ю1-3-4;3 102.00;0.60;2 542.28;0.59;SAND_GL;да
128PL;Ю1-3-4;Ю1-3-4;3 104.00;0.60;2 542.43;0.37;ARGILLIT;нет
342;Ю1-3-4;Ю1-3-4;2 664.80;0.60;2 542.44;0.59;DENSE;нет
309;Ю1-3-4;Ю1-3-4;2 719.40;0.80;2 542.69;0.80;SAND_GL;да
175;Ю1-3-4;Ю1-3-4;3 278.40;0.60;2 542.71;0.60;ALEVROLIT;да
128PL;Ю1-3-4;Ю1-3-4;3 104.60;0.60;2 542.80;0.36;ALEVROLIT;да
334;Ю1-3-4;Ю1-3-4;2 761.00;2.40;2 542.80;2.39;ARGILLIT;нет
341;Ю1-3-4;Ю1-3-4;2 709.40;3.00;2 542.80;3.00;SAND;да
350;Ю1-3-4;Ю1-3-4;2 754.60;0.80;2 542.83;0.80;DENSE;нет
105;Ю1-3-4;Ю1-3-4;3 102.60;1.00;2 542.87;0.98;SAND_UPLOT;да
342;Ю1-3-4;Ю1-3-4;2 665.40;1.60;2 543.03;1.60;SAND;да
358;Ю1-3-4;Ю1-3-4;2 688.00;1.60;2 543.07;1.59;DENSE;нет
128PL;Ю1-3-4;Ю1-3-4;3 105.20;1.80;2 543.16;1.11;SAND_GL;да
318;Ю1-3-4;Ю1-3-4;2 770.00;1.00;2 543.23;0.97;ALEVROLIT;да
175;Ю1-3-4;Ю1-3-4;3 279.00;0.80;2 543.31;0.80;SAND_GL;да
188;Ю1-3-4;Ю1-3-4;3 057.20;1.00;2 543.38;0.98;SAND;да
