UWI;well_name;X;Y;MD;Z
314_100;100;354 727.390;6 470 017.860;10.000;-110.780
314_100;100;354 727.400;6 470 017.870;20.000;-100.780
314_100;100;354 727.410;6 470 017.880;30.000;-90.780
314_100;100;354 727.430;6 470 017.900;40.000;-80.780
314_100;100;354 727.460;6 470 017.930;50.000;-70.780
314_100;100;354 727.460;6 470 017.970;60.000;-60.780
314_100;100;354 727.450;6 470 018.000;70.000;-50.780
314_100;100;354 727.450;6 470 018.080;80.000;-40.780
314_100;100;354 727.510;6 470 018.220;90.000;-30.780
314_100;100;354 727.640;6 470 018.420;100.000;-20.780
314_100;100;354 727.870;6 470 018.700;110.000;-10.790
314_100;100;354 728.210;6 470 019.060;120.000;-0.800
314_100;100;354 728.690;6 470 019.510;130.000;9.170
314_100;100;354 729.350;6 470 020.060;140.000;19.140
314_100;100;354 730.190;6 470 020.700;150.000;29.080
314_100;100;354 731.180;6 470 021.430;160.000;39.010
314_100;100;354 732.340;6 470 022.220;170.000;48.910
314_100;100;354 733.660;6 470 023.060;180.000;58.780
314_100;100;354 735.180;6 470 023.970;190.000;68.630
314_100;100;354 736.910;6 470 024.980;200.000;78.420
314_100;100;354 738.830;6 470 026.110;210.000;88.170
314_100;100;354 740.960;6 470 027.360;220.000;97.860
314_100;100;354 743.300;6 470 028.710;230.000;107.490
314_100;100;354 745.810;6 470 030.120;240.000;117.070
314_100;100;354 748.370;6 470 031.570;250.000;126.620
314_100;100;354 750.930;6 470 033.010;260.000;136.180
314_100;100;354 753.470;6 470 034.470;270.000;145.740
314_100;100;354 755.990;6 470 035.920;280.000;155.310
314_100;100;354 758.490;6 470 037.300;290.000;164.900
314_100;100;354 760.970;6 470 038.610;300.000;174.500
314_100;100;354 763.440;6 470 039.900;310.000;184.100
314_100;100;354 765.880;6 470 041.160;320.000;193.710
314_100;100;354 768.280;6 470 042.410;330.000;203.340
314_100;100;354 770.690;6 470 043.660;340.000;212.970
314_100;100;354 773.130;6 470 044.950;350.000;222.580
314_100;100;354 775.590;6 470 046.290;360.000;232.180
314_100;100;354 778.070;6 470 047.650;370.000;241.770
314_100;100;354 780.510;6 470 049.060;380.000;251.360
314_100;100;354 782.900;6 470 050.460;390.000;260.970
314_100;100;354 785.310;6 470 051.850;400.000;270.580
314_100;100;354 787.750;6 470 053.200;410.000;280.180
314_100;100;354 790.200;6 470 054.490;420.000;289.790
314_100;100;354 792.620;6 470 055.780;430.000;299.410
314_100;100;354 794.990;6 470 057.060;440.000;309.040
314_100;100;354 797.330;6 470 058.350;450.000;318.670
314_100;100;354 799.690;6 470 059.680;460.000;328.300
314_100;100;354 802.070;6 470 061.030;470.000;337.920
314_100;100;354 804.470;6 470 062.380;480.000;347.530
314_100;100;354 806.880;6 470 063.710;490.000;357.140
314_100;100;354 809.320;6 470 065.030;500.000;366.750
314_100;100;354 811.770;6 470 066.330;510.000;376.360
314_100;100;354 814.250;6 470 067.590;520.000;385.970
314_100;100;354 816.740;6 470 068.850;530.000;395.570
314_100;100;354 819.210;6 470 070.160;540.000;405.170
314_100;100;354 821.660;6 470 071.490;550.000;414.770
314_100;100;354 824.100;6 470 072.780;560.000;424.380
314_100;100;354 826.520;6 470 074.030;570.000;434.010
314_100;100;354 828.880;6 470 075.260;580.000;443.640
314_100;100;354 831.250;6 470 076.510;590.000;453.280
314_100;100;354 833.630;6 470 077.830;600.000;462.900
314_100;100;354 836.040;6 470 079.220;610.000;472.510
314_100;100;354 838.460;6 470 080.640;620.000;482.100
314_100;100;354 840.880;6 470 082.090;630.000;491.700
314_100;100;354 843.290;6 470 083.530;640.000;501.300
314_100;100;354 845.740;6 470 084.940;650.000;510.890
314_100;100;354 848.250;6 470 086.300;660.000;520.470
314_100;100;354 850.800;6 470 087.600;670.000;530.050
314_100;100;354 853.350;6 470 088.860;680.000;539.640
314_100;100;354 855.870;6 470 090.110;690.000;549.240
314_100;100;354 858.360;6 470 091.350;700.000;558.840
314_100;100;354 860.830;6 470 092.580;710.000;568.460
314_100;100;354 863.280;6 470 093.790;720.000;578.070
314_100;100;354 865.710;6 470 095.000;730.000;587.700
314_100;100;354 868.120;6 470 096.200;740.000;597.330
314_100;100;354 870.520;6 470 097.390;750.000;606.960
314_100;100;354 872.920;6 470 098.610;760.000;616.590
314_100;100;354 875.340;6 470 099.870;770.000;626.210
