"well
Ид скважины";"num
Номер скважины";"x
X";"y
Y";"field
Месторождение";"z
Z";"plastorig
Пласт ГеоБД"
314_100;100;355 010.660;6 470 170.740;Шингинское;2 671.200;Ю1-1
314_101;101;354 605.750;6 471 639.690;Шингинское;3 117.600;Ю1-1
314_102;102;355 094.590;6 470 636.370;Шингинское;2 758.400;Ю1-1
314_103;103;354 278.800;6 470 942.750;Шингинское;2 860.400;Ю1-1
314_103ST2;103ST2;354 089.590;6 470 137.600;Шингинское;2 847.400;Ю1-1
314_104;104;354 234.530;6 471 358.120;Шингинское;3 069.200;Ю1-1
314_105;105;356 138.190;6 470 536.880;Шингинское;3 058.600;Ю1-1
314_106;106;355 534.110;6 471 397.330;Шингинское;3 097.400;Ю1-1
314_107;107;353 360.930;6 471 143.960;Шингинское;3 224.200;Ю1-1
314_108;108;354 807.680;6 472 113.040;Шингинское;3 448.200;Ю1-1
314_109;109;354 114.530;6 471 724.300;Шингинское;3 269.200;Ю1-1
314_110G;110G;353 938.950;6 470 772.020;Шингинское;2 951.600;Ю1-1
314_110G;110G;353 763.420;6 471 242.160;Шингинское;3 454.000;Ю1-1_T3
314_110PL;110PL;353 777.470;6 471 206.130;Шингинское;3 187.800;Ю1-1
314_111;111;353 715.860;6 471 755.980;Шингинское;3 343.000;Ю1-1
314_112;112;355 857.020;6 469 315.970;Шингинское;3 048.000;Ю1-1
314_113;113;356 177.670;6 469 702.270;Шингинское;3 120.400;Ю1-1
314_114;114;354 204.840;6 470 497.230;Шингинское;2 767.800;Ю1-1
314_116;116;355 706.690;6 469 669.360;Шингинское;2 891.600;Ю1-1
314_117;117;353 435.210;6 470 108.520;Шингинское;3 007.600;Ю1-1
314_117ST2;117ST2;353 022.530;6 469 381.470;Шингинское;3 347.000;Ю1-1
314_120;120;352 681.410;6 468 936.830;Шингинское;3 292.800;Ю1-1
314_121;121;355 391.250;6 469 284.210;Шингинское;3 020.800;Ю1-1
314_122;122;355 432.340;6 468 833.900;Шингинское;2 898.800;Ю1-1
314_123G;123G;355 118.110;6 471 184.180;Шингинское;3 010.900;Ю1-1
314_123G;123G;355 088.000;6 471 721.770;Шингинское;3 550.000;Ю1-1_T3
314_123PL;123PL;355 106.590;6 471 464.530;Шингинское;3 233.400;Ю1-1
314_124G;124G;354 649.990;6 470 555.710;Шингинское;2 991.600;Ю1-1
314_124G;124G;354 670.260;6 471 187.900;Шингинское;3 625.000;Ю1-1_T3
314_124PL;124PL;354 609.460;6 470 580.960;Шингинское;2 994.400;Ю1-1
314_125G;125G;355 535.400;6 470 191.850;Шингинское;3 053.000;Ю1-1
314_125G;125G;356 076.190;6 470 168.880;Шингинское;3 595.000;Ю1-1_T3
314_125PL;125PL;355 607.260;6 470 223.170;Шингинское;3 072.600;Ю1-1
314_126;126;355 226.600;6 469 812.030;Шингинское;3 205.000;Ю1-1
314_127;127;354 786.650;6 469 809.140;Шингинское;3 102.800;Ю1-1
